route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
"NAOLIBORG:Line:91","NAOLIBORG:Operator:1","91","Couëron Bougon - Mendès France - Bellevue",,3,,009640,ffffff,131
"NAOLIBORG:Line:93","NAOLIBORG:Operator:1","93","Hôpital Laënnec - Hauts de Couëron",,3,,65c2c4,ffffff,133
"NAOLIBORG:Line:95","NAOLIBORG:Operator:1","95","Bois St-Lys - Haluchère - Batignolles",,3,,c8d300,000000,135
"NAOLIBORG:Line:96","NAOLIBORG:Operator:1","96","Coutancière - Bout des Pavés",,3,,f7a600,000000,136
"NAOLIBORG:Line:97","NAOLIBORG:Operator:1","97","Vertou - Trentemoult",,3,,bca3ce,ffffff,137
"NAOLIBORG:Line:98","NAOLIBORG:Operator:1","98","St-Léger-les-Vignes / Brains - Neustrie",,3,,f7a600,000000,138
"NAOLIBORG:Line:E1","NAOLIBORG:Operator:1","E1","Couëron Océan - Gare Maritime",,3,,e30613,ffffff,151
"NAOLIBORG:Line:E4","NAOLIBORG:Operator:1","E4","Porte de Vertou - Vertou",,3,,e30613,ffffff,154
"NAOLIBORG:Line:E5","NAOLIBORG:Operator:1","E5","Carquefou - Fac de Droit",,3,,e30613,ffffff,155
"NAOLIBORG:Line:E8","NAOLIBORG:Operator:1","E8","La Cochère - Greneraie",,3,,e30613,ffffff,158
"NAOLIBORG:Line:NA","NAOLIBORG:Operator:1","NA","Aéroport - Hôtel Dieu",,3,,a1daf8,000000,160
"NAOLIBORG:Line:TE1","NAOLIBORG:Operator:1","TE1","Greneraie - Allende",,3,,502391,ffffff,161
"NAOLIBORG:Line:TE2","NAOLIBORG:Operator:1","TE2","Bac d'Indret - Château d'Aux",,3,,2581c4,ffffff,162
"NAOLIBORG:Line:N1","NAOLIBORG:Operator:1","N1","Trentemoult Sablières - Gare Maritime",,4,,2aaab6,ffffff,171
"NAOLIBORG:Line:N2","NAOLIBORG:Operator:1","N2","Trentemoult Sablières - Hangar à Bananes",,4,,2aaab6,ffffff,172
"NAOLIBORG:Line:N3","NAOLIBORG:Operator:1","N3","Port Boyer Navibus - Petit Port-Facultés",,4,,2aaab6,ffffff,173
"NAOLIBORG:Line:NGG","NAOLIBORG:Operator:1","NGG","Gachet - Grimaudière",,4,,2581c4,ffffff,181
"NAOLIBORG:Line:NC","NAOLIBORG:Operator:1","NC","Chantrerie Grandes Ecoles - Ligne de nuit Chantrerie",,3,,ffffff,232c77,191
"NAOLIBORG:Line:NN","NAOLIBORG:Operator:1","NN","Porte de la Chapelle - Hangar à Bananes",,3,,f91aff,ffffff,192
"NAOLIBORG:Line:NO","NAOLIBORG:Operator:1","NO","Beauséjour - Hangar à Bananes",,3,,fffa3e,232c77,193
"NAOLIBORG:Line:NS","NAOLIBORG:Operator:1","NS","Bourdonnières - Hangar à Bananes",,3,,00ffc2,232c77,194
"NAOLIBORG:Line:LCE","NAOLIBORG:Operator:1","LCE","Cotalard - Léo Lagrange",,3,,00a754,ffffff,197
"NAOLIBORG:Line:LCN","NAOLIBORG:Operator:1","LCN","Léo Lagrange - Pont Pilet",,3,,e30613,ffffff,198
"NAOLIBORG:Line:LCO","NAOLIBORG:Operator:1","LCO","René Cassin - Léo Lagrange",,3,,2581c4,ffffff,199
"NAOLIBORG:Line:101","NAOLIBORG:Operator:1","101","Mairie de Couëron - Sinière",,3,,a9162e,ffffff,301
"NAOLIBORG:Line:102","NAOLIBORG:Operator:1","102","Chalonges - René Bernier",,3,,a9162e,ffffff,302
"NAOLIBORG:Line:104","NAOLIBORG:Operator:1","104","Les Sorinières - Petite Lande",,3,,a9162e,ffffff,304
"NAOLIBORG:Line:105","NAOLIBORG:Operator:1","105","Collège Sainte Anne - Centre de Thouaré",,3,,a9162e,ffffff,305
